s001,i001,1,2025-05-21,13:56:29,20.00,added
s002,i004,5,2025-05-21,17:43:32,45.00,added
s005,i002,2,2025-05-23,17:34:54,80.00,added
s006,i005,1,2025-05-23,17:35:03,90.00,added
s007,i002,1,2025-05-24,13:56:26,40.00,added
s010,i001,2,2025-05-26,21:06:38,40.00,added
s011,i004,1,2025-05-26,22:24:31,9.00,added
s014,i005,6,2025-05-27,21:06:29,540.00,added
s017,i001,5,2025-05-27,23:25:28,100.00,added
s018,i002,3,2025-05-28,00:11:56,120.00,added
s019,i002,6,2025-05-28,00:12:04,240.00,added
s020,i005,5,2025-05-28,00:12:10,450.00,added
s021,i001,5,2025-06-06,00:12:10,50.00,added
s022,i002,5,2025-06-08,00:12:10,10.00,added
s023,i005,5,2025-06-10,00:12:10,250.00,added
s024,i002,5,2025-06-12,00:12:10,80.00,added
s025,i004,1,2025-06-02,23:46:26,9.00,deleted
s027,i001,1,2025-06-02,23:52:57,20.00,deleted
s028,i001,1,2025-06-02,23:56:32,20.00,deleted
s029,i001,2,2025-06-03,01:14:51,40.00,deleted
s030,i001,1,2025-06-22,01:38:52,20.00,added
